mile,split_dist_mi,pace_min_mi,pace_sec,gap_min_mi,gap_sec,strava_elev_change_ft,gpx_elev_gain_ft,gpx_elev_loss_ft,avg_hr_bpm,max_hr_bpm,gpx_split_time_sec,cum_dist_mi,cum_time_min
1,1.00,10:18,618,9:10,550,187,188,1,152,174,629,1.00,10.5
2,1.00,9:34,574,9:04,544,105,103,0,148,169,562,2.00,19.9
3,1.00,14:08,848,9:51,591,458,434,12,156,176,817,3.00,33.5
4,1.00,12:26,746,10:38,638,179,266,41,146,157,736,4.00,45.7
5,1.00,10:37,637,10:18,618,1,50,115,124,137,623,5.00,56.1
6,1.00,10:53,653,10:00,600,96,204,52,144,158,688,6.00,67.6
7,1.00,10:05,605,10:35,635,-172,39,192,127,138,644,7.00,78.3
8,1.00,9:18,558,9:53,593,-321,20,306,133,144,596,8.00,88.2
9,1.00,9:42,582,10:19,619,-297,0,343,132,150,594,9.00,98.2
10,1.00,8:33,513,8:57,537,-126,0,111,138,156,616,10.00,108.4
11,1.00,9:50,590,9:44,584,-43,63,138,114,167,1249,11.00,129.2
12,1.00,10:20,620,9:28,568,152,156,0,151,173,624,12.00,139.6
13,1.00,11:36,696,9:32,572,259,228,0,137,145,683,13.00,151.0
14,1.00,13:09,789,10:08,608,355,384,12,161,180,834,14.00,164.9
15,1.00,11:19,679,10:25,625,81,180,63,150,171,731,15.00,177.1
16,1.00,11:22,682,10:54,654,26,99,93,144,166,701,16.00,188.8
17,1.00,11:24,684,10:35,635,80,153,63,166,183,711,17.00,200.6
18,1.00,11:04,664,11:35,695,-168,28,205,141,158,692,18.00,212.2
19,1.00,10:37,637,11:29,689,-359,12,377,142,155,665,19.00,223.2
20,1.00,10:12,612,10:45,645,-267,0,263,144,153,617,20.00,233.5
21,1.00,9:21,561,9:52,592,-142,0,150,153,159,562,21.00,242.9
0.40,0.40,10:02,602,10:47,647,-87,2,74,143,153,214,21.40,246.5
